"stno","X2013.04.01","X2013.04.02","X2013.04.03","X2013.04.04","X2013.04.05","X2013.04.06","X2013.04.07","X2013.04.08","X2013.04.09","X2013.04.10","X2013.04.11","X2013.04.12","X2013.04.13","X2013.04.14","X2013.04.15","X2013.04.16","X2013.04.17","X2013.04.18","X2013.04.19","X2013.04.20","X2013.04.21","X2013.04.22","X2013.04.23","X2013.04.24","X2013.04.25","X2013.04.26","X2013.04.27","X2013.04.28","X2013.04.29","X2013.04.30"
"C0U650","0.3782","0.061","0.25","0.5738","-0.0974","0.5592","-0.0557","-0.0609","0.1462","0.1035","0.5657","0.3009","0.122","0.5846","0.0175","0.5393","0.7461","0.794","0.171","0.431","-0.0314","0.0845","-0.0366","-0.0314","0.3277","0.5563","-0.0684","-0.0877","-0.0087","0.1654"
"C0U710","-0.1736","0.0832","0.1816","-0.0868","-0.1247","-0.1693","0.0366","-0.1247","-0.1389","0.0418","0","0.014","-0.3927","-0.0626","0.0927","-0.0349","-0.1663","-0.1693","0.1176","-0.0974","-0.0627","-0.1455","0.0418","0.0105","-0.1389","0.0278","-0.2052","-0.014","0.0487","-0.0696"
"C0U750","-3.0769","5.3553","-3.1761","-3.8905","4.0377","7.29","3.2076","-3.7907","4.3716","3.2174","2.5646","4.169","-5.459","3.6737","-3.0924","-2.9836","2.046","-3.0924","5.8806","3.8408","6.3751","-2.4727","-4.7815","-4.0994","5.4565","2.8978","-5.6134","-4.3257","-4.6743","-5.2605"
"C0U760","-0.2869","0.5665","0.0954","0.3595","0.0827","1.0286","0.8004","0.1873","-0.4459","0.4635","0.2294","0.4863","0.3009","0.2762","0.3473","0.0087","-0.0618","-0.2034","0.6709","0.424","0.9193","0.2945","0.3857","-0.0209","0.5346","0.104","-0.5657","-0.1204","0.5926","-0.2344"
"C0U770","1.7092","2.568","1.6548","2.1172","2.3933","1.589","2.5279","-2.334","2.3967","2.0338","2.7713","1.7335","2.673","2.1613","2.2517","2.1172","1.9289","-0.2404","0.4113","-1.7956","1.4913","1.9972","-3.0995","2.0098","0.9762","1.6401","2.0308","2.2825","-2.2553","-2.1916"
"C0V250","-0.1219","-0.9903","1.1818","-0.115","1.0985","-0.9962","-0.9848","0.9998","1.1591","-0.8651","-0.1251","0.6821","-0.7989","0.7989","-1.0269","0.9135","0.9994","0.0157","-0.0697","0.766","-0.8999","-0.699","0.5162","0.9135","0.9877","-0.8988","-0.5706","0","-0.8572","0.0192"
"C0V310","0.6128","-0.6928","-0.3","0.383","0.0684","0.9959","0.1732","-0.3","1.2","0.5196","0.5909","0.5196","0.5196","0.6062","-0.0868","0.35","0.4924","0.383","0.0174","-0.4","0","0.0347","0.383","-0.1563","0.766","-0.171","0.1732","0.3464","-0.3064","-0.1042"
"C0V370","0.0985","0.1732","0.1732","-0.0766","0.15","0.197","0.0985","0","0.1879","0.0643","0.1","0.1532","0.094","0.0866","-0.0347","0","0.05","0","0","-0.0347","0.1286","0","0","-0.0174","0.197","0","0","0.0766","0.0174","0"
"C0V490","1.2216","1.5035","0.8426","-0.7","-0.6928","1.6742","1.0833","-0.0868","1.3156","1.5035","0.7713","1.9053","0.9526","0.8457","-0.2298","-0.6894","0.45","-0.0521","0.6062","0.5909","1.0833","0.6062","-0.5638","0.8863","2.0673","-0.5785","0.1286","0.75","-0.3214","-0.9397"
"C0V500","0.3939","0.5362","0.15","0.2298","0.2571","0.5362","0.3","0.1286","0.45","0.4596","0.3064","0.4924","0.094","0.2954","0.0174","-0.1286","0.1286","0","0.0643","0.0347","0.15","-0.0643","-0.0766","-0.3214","0.2736",NA,NA,"0.1026","-0.1","-0.1928"
"C0X080","2.6311","2.7575","2.462","2.2517","-1.05","3.3483","2.913","1.5035","2.8559","3.6438","2.462","2.9544","0.7878","1.1491","0.9397","-0.8426","-0.6128","-0.1563","0.9397","1.1276","3.3483","1.9919","1.5975","-0.3126","2.1651","-1.7727","0.4924","1.6914","1.0833","-1.05"
"C0Z050","0.122","-0.5663","-0.2364",NA,"-0.6122","-0.6857","-0.3152","-0.1638","-0.2516","-0.3236","-0.1677","-0.1638","-0.1677","-0.4373","-0.3355","-0.2925","-0.3532","-0.2782","-0.3464","-0.3316","-0.5663","-0.2427","-0.3464","-0.4455","-0.4854","-0.4459","0.2158","-0.097","-0.4494","0.2877"
"C0Z061","0.0488","0.5936","0.1095","0.4568","0.1975","0.8988","0.0696","0.1268","0.6181","0.8192","0.7632","0.1408","0.0349","1.0595","0.0419","0.4999","-0.0836","-0.5822","0.8746","0.6181","1.4127","0.1251","0.0782","-0.4092","-0.1045","0.8402","0.5563","-0.0782","0.014","-0.2344"
"C0Z070","0.4243","0.725","0.8089","0.3857","-0.4728","0.7715","0.3654","-0.0777","0.725","0.9063","0.7128","0.7872","0.3532","0.6999","0.3939","0.3951","0.4459","0.725","1.0786","0.5248","1.2474","0.424","-0.2677","0.6395","0.7064","0.7794","-0.4997","-0.0982","-0.0763","-0.9945"
