"stno","X2013.02.01","X2013.02.02","X2013.02.03","X2013.02.04","X2013.02.05","X2013.02.06","X2013.02.07","X2013.02.08","X2013.02.09","X2013.02.10","X2013.02.11","X2013.02.12","X2013.02.13","X2013.02.14","X2013.02.15","X2013.02.16","X2013.02.17","X2013.02.18","X2013.02.19","X2013.02.20","X2013.02.21","X2013.02.22","X2013.02.23","X2013.02.24","X2013.02.25","X2013.02.26","X2013.02.27","X2013.02.28"
"C0T9D0","-0.8632","-0.3597","0.9962","-0.5035","-0.5448","0.9511","1.4724","2.3492","1.1258","-0.6561","1.4554","0.881","0.9329","-0.6947","1.1684","1.0625","-0.7193","-0.0977","1.5147","1.307","0.5803","1.3119","1.0673","-0.5785","-0.6466","-1.0898","0.891","-0.2958"
"C0T9E0","-0.5298","0.6999","-0.2884","-0.4668","-0.5755","-1.2608","1.4004","2.3745","1.2496","0.7461","1.279","1.3994","1.0998","-0.3564","1.6178","0.9903","-0.424","-0.6894","2.2092","1.4672","0.5999","1.4835","1.8126","-0.2192","-0.0523","-0.6821","1.2858","0.7727"
"C0T9F0","0.4495","-0.0349","-0.0813","-0.5665","-0.3632","0.55","0.3661","0.3254","0.0609","-0.4702","0.7064","0.43","-0.0157","-0.3441","0.2517","0.1953","-0.3507","-0.5785","0.2177","0.0209","-0.4015","0.2779","0.3473","0.3381","-0.2736","0.4815","0.4854","-0.2909"
"C0T9G0","0.3939","0.9119","0.2984","0.7727","0.8776","1.2728","1.8284","2.6616","1.4387","1.0497","1.1594","1.8579","1.1314","0.4908","2.1941","1.2958","0.6578","-0.3346","2.4458","1.5825","1.2075","1.6604","1.6349","0.6344","-0.2723","-0.1286","1.9429","0.8457"
"C0T9H0","1.2638","0.8616","-1.0103","-2.0116","-0.4007","1.1635","2.3747","5.6509","3.717","2.2692","2.5954","0.958","3.1922","-1.0649","2.6753","3.2594","1.3947","-1.9897","3.3858","3.7091","-0.0384","2.5556","4.1346","-0.3824","-0.9405","-2.0116","2.3037","0.1204"
"C0T9I0","-2.0353","-1.5371","1.1644","-2.1325","-1.4772","1.8284","2.364","3.5383","1.576","-1.741","2.1887","2.6004","-1.5217","1.079","1.9897","-1.3856","-1.7738","-2.5114","3.4788","1.6444","-1.749","2.4092","1.8436","-1.3265","-1.553","-1.5871","-2.5207","-1.7119"
"C0T9M0","0.0749","-0.0939","-0.2945","-0.4695","-0.866","0.3009","0.3","0.6535","0.1813","0.2046","0.2298","0.3939","0.0819","-0.0551","0.0996","0.053","0.1888","-1.3458","0.3978","0.1721","0.1463","0.1364","0.1995","0.0717","-0.0279","-0.0576","0.1949","0.0707"
"C0U600","0.1953","0.1236","0.6632","0.3936","-0.433","0.529","0.8769","-0.7469","0.25","0.1805","0.3268","0.4239","-0.2998","0.2817","0.9962","-0.4","0.3936","0.5905","0.7995","-0.2237","0.309","0.4474","0.212","0.45","0.7193","0.5592","0.3597","0.0868"
"C0U650","0.0279","1.1934","-0.4863","0.8345","0.6389","0.6292","0.068","0.1563","-0.2025","0.1753","0.7364","-0.0628","-0.0609","-0.0279","-0.8181","0.5196","-0.2756","0.0157","-0.0175","0.2229","0.4405","-0.1462","-0.3632","1.4998","0.0157","-0.0209","0.6018","0.0695"
"C0U710","0.0726","0.2351","0.1378","0.0651","0.1145","0.4528","-0.0776","0.014","-0.0695","-0.0279","0.0684","-0.0521","0.1873","0.0868","0.1939","0.0105","0.2463","0.0518","0.0695","0.0209","-0.1145","-0.0105","-0.007","-0.1408","-0.0609","-0.0523","-0.0314","0"
