"stno","X2012.02.01","X2012.02.02","X2012.02.03","X2012.02.04","X2012.02.05","X2012.02.06","X2012.02.07","X2012.02.08","X2012.02.09","X2012.02.10","X2012.02.11","X2012.02.12","X2012.02.13","X2012.02.14","X2012.02.15","X2012.02.16","X2012.02.17","X2012.02.18","X2012.02.19","X2012.02.20","X2012.02.21","X2012.02.22","X2012.02.23","X2012.02.24","X2012.02.25","X2012.02.26","X2012.02.27","X2012.02.28","X2012.02.29"
"C0D480","0.3381","0.6809","0.3581","0.2837","0.3985","0.1247","1.4572","0.7981","0.2735","0.4045","0.8668","-0.8785","0.2264","0.2572","0.7092","1.3419","1.2633","0.7452","0.9177","-0.0087","-0.265","-0.4774","0.2989","0.6395","1.0517","1.2434","0.4495","0.6292","0.5456"
"C0D540","0.1231","1.3435","0.2229","-0.0719","0.2","0.1985","1.9015","1.4588","0.1231","0.2978","0.7314","0.0349","0.1928","0.1992","0.3536","1.2948","2.0506","2.0142","0.8485","0.0982","-0.1597","0.2954","0.2","0.1992","0.7986","1.4322","0.7778","0.3277","0.1463"
"C0D550","0.4988","0.4405","-0.9511","-0.8222","0.0105","-1.8896","-0.6309","0.8835","1.1911","-0.9877","0.8995","0.2934","0.0436","0.4924","0.4459","0.6973","-0.9877","0.8733","-0.7922","0.2762","0.0276","-1.0893","-1.0903","-1.1934","-1.0177","-1.1818","-0.9945","-1.0985","-1.5881"
"C0D560","1.4107","6.9207","2.9908","1.0833","0.5917","0.9456","5.7485","5.7485","1.9773","1.4489","3.202","-1.3947","1.4094","1.0833","2.641","4.3192","5.7247","6.9429","4.6679","-1.1852","0.7071","0.3583","1.3998","1.0927","3.664","4.6574","3.5077","2.0462","1.8794"
"C0D570","1.1883","1.4381","0.8863","0.7902","1.0998","-0.7308","1.3703","1.1583","0.4999","1.4888","1.4854","0.8285","0.699","1.1984","1.3947","1.7303","1.9126","1.4004","0.9969","-0.6772","0.8607","0.6632","0.7981","1.6935","1.2929","1.7727","1.5706","1.4918","1.4943"
"C0D580","0.1338","-0.1575","0.1231","-0.0174","-0.0777","0.0035","0.0731","-0.4915","-0.0087","-0.0914","-0.1956","-0.0585","0.0017","-0.0035","-0.007","-0.3152","-0.5638","-0.4357","0.4806","0.0122","-0.106","0.0484","0.0438","-0.1389","-0.1454","-0.4999","-0.0521","0.0993","-0.0244"
"C0D590","3.309","5.5861","3.8184","1.5977","1.5686","-0.0732","5.0205","4.8083","2.5234","2.364","3.8206","-0.6761","1.4142","2.3335","3.7512","5.1073","5.5389","5.071","4.2824","1.5733","0.5202","0.6792","1.5686","3.3234","4.9497","5.1792","4.8196","2.8054","2.7786"
"C0E420","1.9897","4.1144","2.608","1.0958","1.3156","0.2419","4.2402","3.8483","1.2688","2.334","2.9908","0.8668","1.1984","1.2858","2.7046","3.7239","4.548","4.0451","2.6046","0.9945","-1.0963","0.6923","1.2951","2.5984","3.2043","4.0616","3.5476","2.7621","2.5996"
"C0E430","0.5999","1.9425","0.3536","0.5992","-0.9945","1.1911","2.8784","2.0741","0.4872","0.6932","1.3947","1.0973","1.5939","0.797","1.1852","2.1836","3.1514","3.0698","1.1852","0.8999","0.4067","0.7995","0.3951","0.4951","1.2873","2.2776","1.0718","0.8933","0.8995"
"C0E530","0.8668","1.7264","1.1657","0.55","0.2177","-1.7612","1.9778","1.7366","0.7778","1.0607","1.3585","0.7913","0.8776","0.3914","0.9811","1.7552","1.7397","1.9092","1.1509","0.4702","0.1663","-0.7053","0.7757","0.7713","1.2948","1.5686","1.0466","1.3789","1.0725"
