"stno","X2018.02.01","X2018.02.02","X2018.02.03","X2018.02.04","X2018.02.05","X2018.02.06","X2018.02.07","X2018.02.08","X2018.02.09","X2018.02.10","X2018.02.11","X2018.02.12","X2018.02.13","X2018.02.14","X2018.02.15","X2018.02.16","X2018.02.17","X2018.02.18","X2018.02.19","X2018.02.20","X2018.02.21","X2018.02.22","X2018.02.23","X2018.02.24","X2018.02.25","X2018.02.26","X2018.02.27","X2018.02.28"
"C0E530","1.6401","1.4721","1.7239","1.6362","1.7621","1.1472","0.4193","0.736","0.2394","1.1957","1.7355","1.1756","-0.9057","-0.2997","0.1133","0.412","1.0324","0.7064","-0.5909","0.829","1.157","1.3896","0.9027","0.4528","0.7829","0.8241","0.2205","-0.7071"
"C0E610","0.0349","0.1693","-0.0941","0.0087","0.0366","0.053","0.0209","0.1714","0.0174","0.0209","0.0035","0.0585","-0.1486","-0.0845","-0.2158","0.206","-0.2963","-0.1389","-0.2364","-0.2993","0.007","0.2728","0.1075","0.0776","0.1124","0.3316","-0.197","-0.5032"
"C0E730","1.607","1.1982","1.2712","1.25","1.4142","1.8385","0.4243","0.8668","0.559","0.6186","1.5647","1.5825","0.328","0.1095","0.766","0.2481","1.157","0.1935","0.5362","0.3762","1.2036","1.0181","0.8699","0.0609","1.0037","1.1168","0.1336","0.6553"
"C0F861","-0.8947","-0.7456","-0.7829","-0.4239","-0.4815","-0.2796","-0.3069","-0.4848","-0.5299","-0.6883","-1.2361","-1.05","-0.6018","-0.3126","-0.3945","-0.4702","-0.2939","-0.5","-0.265","-0.412","-0.55","-0.4769","-0.5592","-0.2179","-0.4769","-0.6018","-0.3605","-0.4114"
"C0G640","2.3835","1.9927","2.6845","2.3184","2.6438","2.0603","1.2527","0.9919","0.8959","1.3597","2.4724","1.9117","-0.6725","-0.8604","1.5939","-0.2353","1.576","0.7526","0.0523","0.4732","1.7583","1.9522","0.7693","-0.1744","1.5239","0.9919","0.2366","0.3145"
"C0G650","0.1706","0.513","-0.1777","0.0489","0.1046","-0.0959","0.0174","0.1717","0.0419","0.0628","0.1256","0.1253","0.0731","0.0763","0.5353","0.061","-0.5446","-0.2867","0.0314","0.0941","-0.8425","-0.068","-0.0697","0.2735","-0.4994","0.0767","0.5803","0.2817"
"C0H990","-4.7543","-3.1874","-3.4415","-3.8901","-0.0954","0","0","0","-4.5738","-4.4612","-6.2898","-3.0902","-1.8414","-3.5229","-5.5389","-5.2069","-3.2992","-1.3272","-1.2164","-2.6665","-1.7614","-4.8022","-1.7083","-2.4045","-3.35","-2.9675","-2.6765","-4.5043"
"C0H9A0","0.856","0.6948","0.2622","0.5992","0.3178","0.589","0.5955","-0.4924","0.2344","0.5996","0.4698","0.4728","0.8933","0.7469","0.9962","0.3507","1.0865","0.8863","-1.2929","1.0865","0.8","0.215","-0.7825","0.6535","0.7364","0.9877","1.0958","-0.167"
"C0H9C0","0","0","0","0","0","0","0","0","-0.2939","-0.45","-0.7778","-0.5142","-0.9841","0.0523","-0.6582","-0.6947","-0.6293","-0.8425","-1.3569","-0.8302","-0.7314","-0.9225","-1.1657","-1.0392","-0.6138","-0.7947","-0.7641","-0.7713"
"C0I010","0.5035","0.699","0.0697","0.7314","0.0697","0.719","-0.5734","0.5","0.7981","0.9511","-0.6792","-0.454","0.856","1.1852","-0.7222","0.1392","0.9703","0.9613","-0.8019","0.9986","0.3254","0.2205","0.8829","-0.9887","0.0974","-0.3381","0.2781","0.9976"
"C0I090","0.0628","0.5035","0.0975","0.1854","0.5706","0.3632","0.7762","0.8607","0.3399","0.0471","0.5035","0.0696","0.5202","-0.5162","0.5905","0.0628","0.0419","0.766","0.1408","0.765","0.8933","0.1392","0.1392","0.3907","0.829","0.1097","-0.5592","-1.1413"
"C0I110","-0.2756","0.1359","0.1584","0.4848","0.662","0.167","0.7188","0.7281","0.8785","-0.6691","0.6356","0.5033","0.4114","0.8803","0.9429","0.8988","-1.1476","1.0337","-0.856","-0.8336","0.3365","-0.547","0.4769","0.4695","1.0495","-1.0918","0.4695","0.4363"
"C0K240","-1.6257","-0.5017","-0.8699","-0.8229","0.8426","0.0454","-0.803","1.7357","1.0239","-0.5829","-0.9177","-0.6947","-0.6466","1.088","1.3023","-0.9177","-1.2276","-0.766","1.2721","1.2216","-1.3","0.5209","0.2699","1.2292","1.0725","-0.9368","-0.8918","1.0607"
"C0K280","1.6378","2.424","2.4225","2.2777","2.8638","2.5","1.0666","0.1744","0.3047","0.439","0.9543","1.9727","0.3129","0.508","0.1809","0.2404","1.4335","0.9859","0.0523","0.3897","1.3906","1.885","1.7511","0.382","1.3023","0.894","0.1186","0.9135"
"C0K330","0.6064","0.1917","-0.0803","0.2783","0.4168","0.5562","-0.2329","0.2287","0.0227","0.0942","-0.4341","-0.5535","-0.5818","0.0471","0.0419","-0.4326","-1.0927","0.7456","-0.1531","-0.7949","-0.618","0.2816","-0.2911","-0.6889","-0.7524","-0.9786","-0.4474","0.1219"
"C0M410","0.5481","-0.441","-0.2622","0.18","0.0122","-0.293","-0.2394","0.007","-0.18","0.2034","0.5162","0.0974","0.6573","-0.3762","-0.3583","-0.2287","-0.6293","-0.1908","-0.3583","0.0576","0.2279","0.227","-0.2474","-0.2756","-0.5017","-0.1253","-0.1531","-0.309"
"C0M530","0.3611","0.1336","-0.5945","-0.4769","-0.1627","0.483","0.2344","0.6128","0.5822","-0.3857","0.2294","0.3999","0.4415","0.8045","1.0718","0.8995","-0.4363","0.6894","0.8978","-0.3254","-0.2723","0.2909","0.4908","-0.4015","0.4938","0.6792","-0.4902","-0.4225"
