"stno","X2012.02.01","X2012.02.02","X2012.02.03","X2012.02.04","X2012.02.05","X2012.02.06","X2012.02.07","X2012.02.08","X2012.02.09","X2012.02.10","X2012.02.11","X2012.02.12","X2012.02.13","X2012.02.14","X2012.02.15","X2012.02.16","X2012.02.17","X2012.02.18","X2012.02.19","X2012.02.20","X2012.02.21","X2012.02.22","X2012.02.23","X2012.02.24","X2012.02.25","X2012.02.26","X2012.02.27","X2012.02.28","X2012.02.29"
"C0U650","0.5088","1.4772","-0.4668","0.589","1.1818","0.0122","1.8","-0.866","-0.3897","1.1","0.6871","0.3147","0.7564","0.8951","0.5494","0.8988","1.076","-0.7872","-0.7188","-0.8457","0.495","0.797","0.0628","-0.7872","1.1934","1.0199","-0.6821","0.2605","-0.4915"
"C0U710","0.7469","0.0999","0.2817","0.4993","0.2728","-0.9994","-0.3625","0.1782","0.2989","-0.4951","-0.3978","0.9848","0.3804","0.1259","0.2853","-0.4924","0.1923","-0.1997","0.7922","1.0337","-0.2572","0.399","0.5869","0.4973","-0.4973","0.4938","0.2571","-0.8978","0.5768"
"C0U750","2.1222","2.8936","2.116","2.409","1.461","-0.2564","1.4392","2.796","-0.0506","0.8682","1.7896","-0.3837","-0.2303","-0.5645","3.0046","1.6451","2.578","2.7","1.871","-0.0803","-0.8509","0","2.4","0.5578","1.8088","2.1631","1.1388","0.8907","0.0768"
"C0U760","-0.6344","-0.5446","0.2025","-0.5119","0.431","-0.5353","-0.9506","-0.5664","-0.4938","0.9744","0.229","1.0833","1.0574","0.3064","-0.5541","-0.9851","-0.7641","-1.0103","-0.5416","0.6871","0.5955","1.5871","0.851","-0.766","-0.7757","-1.1314","-0.6772","-0.454","-0.544"
"C0U770","-2.2286","0.0523","-1.9425","-2.1212","2.9645","-1.3575","-2.493","-2.158","-2.2672","-0.9676","-1.6286","0.6861","2.5901","-1.0982","2.5372","-1.4776","-1.6851","-2.342","-2.0065","-1.4444","-1.4","1.3618","-0.8959","-1.5743","-1.4084","-2.314","-3.2514","-0.7506","-2.447"
"C0V250","0.3","0.1368","0.1879","0.3","-0.2954","0","0.171","0.0521","0.15","0.7","0.1368","0.0521","-0.0684","-0.0521","0.0684","0","-0.1216","-0.1042","0.0347","0","0.05","0.2","0.1879","0","0","0.1042","0.1368","-0.0868","-0.0347"
"C0V310","-0.3078","-0.7713","-0.4","-0.2571","-0.35","0.1389","-0.342","-0.2736","-0.1026","-0.3","-0.65","-0.342","-0.2819","-0.6062","-0.4","-0.1368","-0.4788","-0.75","-0.2052","0.0866","0.0174","-0.2954","-0.6062","-0.5785","-0.45","-0.3762","-0.3078","-0.4788","-0.5638"
"C0V370","-0.1732","0.0347","0.0174","0.0174","0","0","0.1","0.0347","0","0.1","-0.1286","-0.0866","0.1532","-0.1","0.0342","0.0174","0.0695","0.1026","-0.0342","0","0","0","0","0.0766","-0.0347","0.1026","-0.1","0.3214","-0.0643"
"C0V490","-1.3","-0.7866","-1.2","-0.95","-0.4788","0.684","-0.684","-1.0603","-0.2778","-0.8551","-0.4689","-0.3473","-0.5","-0.3214","-0.65","-0.8208","-1.0945","-0.9577","-0.684","-0.2394","0.2","-0.0521","-0.4","-0.4104","-0.6498","-1.0261","-0.8208","-1.5","-0.5472"
"C0V500","0.3078","0.1216","0","0.0695","0.0521","0.2394","0.171","0.1389","-0.3064","0.2394","-0.1389","-0.383","0.1026","-0.1732","-0.2598","0.1042","0.2394","0.3078","0.1216","0.0342","0.0174","0.0643","-0.0985","-0.2819","0.2052","0.1736","0.1389","0.2084","-0.3064"
"C0X080","0.9577","0.7293","0.6946","0.5209","0.7524","0","1.2655","1.6759","0.4862","0.6425","0.6772","0.8208","1.0261","0.5814","0.9577","1.6075","0.9724","1.8811","0.6946","0.4515","0.513","-0.9848","1.1276","0.5036","1.1629","1.7785","1.3681","1.4365","0.4862"
"C0Z050","0.1721","0.1954","0.1286","0.159","0.3078","0.1545","0.3268","0.3147","0.0643","0.4015","0.2351","0.2084","0.2407","0.1231","0.3473","0.3857","0.3214","0.2463","0.0574","0.1286","0","0.1204","0.1888","0.2677","0.3147","0.3214","0.1763","-0.0857",NA
"C0Z061","-0.3441","-0.3508","-0.3605","-0.4363","-0.2047","0.7989","-0.508","-0.6103","0.2898","0.3019","-0.55","0.3498","0.3927","0.2945","-0.3804","-0.75","-0.4649","-0.3945","0.3998","-0.2575","0.099","0.3498","0.2984","-0.4225","-0.5446","-0.454","-0.2817","-0.3605","-0.1089"
"C0Z070","-0.45","-0.6498","-0.7071","-0.35","0.1216","0.341","-0.9","-0.5634","-0.1847","-0.215","-0.8","0.2819","-0.2909","0.0934","-0.5164","-1.0301","-0.6356","-0.3381","-0.2424","0.0776","0.0208","0.2007","-0.212","-0.6","-0.6","-0.3","-0.2575","-0.5736","-0.1545"
