"stno","X2017.06.01","X2017.06.02","X2017.06.03","X2017.06.04","X2017.06.05","X2017.06.06","X2017.06.07","X2017.06.08","X2017.06.09","X2017.06.10","X2017.06.11","X2017.06.12","X2017.06.13","X2017.06.14","X2017.06.15","X2017.06.16","X2017.06.17","X2017.06.18","X2017.06.19","X2017.06.20","X2017.06.21","X2017.06.22","X2017.06.23","X2017.06.24","X2017.06.25","X2017.06.26","X2017.06.27","X2017.06.28","X2017.06.29","X2017.06.30"
"C0A950","-1.9471","-1.3348","-2.0128","1.871","-0.1672","-2.0493","0.5435","0.5904","-1.8369","-1.3419","-2.384","-2.1384","-2.4489","-1.5972","-1.2372","-2.0884","2.7149","-1.9607","-1.9919","-0.9988","-1.6286","-1.5745","-2.1201","-2.2553","-2.1429","-3.0147","-2.6475","-2.7877","-2.5605","-2.3476"
"C0A970","-2.3396","-1.5514","0.2925","1.1069","-1.0666","-0.8961","1.5849","1.412","-0.8098","-0.5645","-1.386","1.6349","1.1434","1.137","2.6163","1.5106","2.0137","-0.9009","-1.0959","1.1982","0.9405","1.1702","-1.7874","-1.1833","0.508","0.8601","2.0681","1.3926","-0.8601","1.576"
"C0A980","-1.3787","-1.5096","0.4851","0.4213","0.4774","0.9703","-0.547","0.4326","-0.5288","-0.191","-0.0907","0.0697","0.6217","-0.95","0.2481","0.2575","0.6999","0.4114","0.3939","0.6847","0.5196","-0.8222","0.1717","-0.9712","-1.1","1.2887","-0.7641","-0.4635","-0.7211","-0.3126"
"C0A9A0","0.4693","0.2952","1.4127","1.1025","0.9329","0.2079","-1.2216","1.9972","-1.1181","0.6252","0.191","0.219","0.9193","0.5562","2.2825","0.1113","1.7539","1.6495","0.0872","-1.6495","1.1181","0.0785","0.0262","-1.5321","-2.8929","-2.4032","1.7854","0.4659","-0.9661","0.2177"
"C0A9C0","-1.0285","-0.9613","0.2052","0.1455","0.1113","0.0157","-0.7713","0.9994","0.9063","-0.4121","-0.9135","-0.7715","0.2071","-0.9584","0.3527","-0.1389","0.2605","1.1","0.5416","0.115","0.9994","0.0192","1.1984","-1.1181","-1.6341","-1.1594","-0.3599","0.8999","0.2481","0.7853"
"C0A9E0","0.0994","-1.279","0.4239","0.1408","0.6293","0.1046","-0.2659","0.5","0.7211","-0.1706","0.0489","-0.2661","0.1531","-0.7014","0.5818","-0.6948","0.6695","0.412","0.5333","-1.0649","0.4121","0.55","-0.4232","-1.1657","0.6743","1.0285","0.0558","0.0192","-0.9185","0.2847"
"C0A9F0","-1.1476","0.8966","0.6932","0.6962","0.6761","0.4997","0.794","1.2982","-0.4774","-0.7564","0.5822","0.4455","0.104","1.0993","1.1346","0.2996","0.7825","0.8","0.4981","-0.6857","0.6999","0.5985","-0.7","-0.8912","-1.1","-0.9584","-0.6947","0.7795","0.6996","0.6894"
"C0AC40","-8.1231","-7.1297","-3.5189","-5.8104","-5.0225","-4.4947","-6.0861","-1.189","-2.8368","-5.9416","-4.8772","-6.2689","-6.6751","-7.621","2.0765","-9.1591","3.7471","-6.0645","-8.3138","-9.1827","-7.1904","-4.1529","-6.1819","-6.7104","-9.7354","-7.3285","-5.685","-1.9126","2.3213","-1.9487"
"C0AC60","-1.3584","1.6","0.7999","-0.4854","-0.5283","-0.1336","-0.2287","0.9994","-0.4474","-0.3907","0.9563","0.7999","0.8999","0.0907","1.3828","0.4999","0.7922","0.3913","-0.1854","0.4689","0.342","0.7922","1.2873","0","-0.5472","-0.9959","-0.6561","-0.3126","0.7281","-0.5657"
"C0AC70","0.2898","0.1176","0.1389","0.1782","0.0857","0.0891","0.0515","0.2598","-0.0799","0.0819","0.0017","0.0309","0.0951","0.2853","0.3845","0.0755","0.1975","0.2801","0","0.0278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C0AC80","0.3355","0.6038","0.4974","0.4782","0.0626","0.483","0.4459","1.2873","0.0209","0.2248","0.0968","0.4096","0.1526","0.8966","0.983","0.2719","0.7795","1.0865","0.0719","0.2993","0.0174","0.7981","0.0209","0.483","0.2294","-0.227","0.6821","0.7461","0.4974","0.4145"
"C0ACA0","-1.5706","-1.2557","0.1378","0.5869","0.5601","0.6792","0.8835","0.9659","1.0718","0.9563","0.856","0.1717","0.8835","-0.454","0.6871","0.4908","0.5869","0.3109","0.2624","-0.4963","0.7727","0.851","0.9887","-1.1883","-1.2557","-1.0865","-1.0126","0.0122","0.1553","0.6847"
"C0AD00","-0.477","1.3828","-0.0975","-0.1564","0.1563","-0.167","-0.2431","0.8356","-0.2481","-0.3374","-0.1828","-0.3119","-0.1307","-0.4918","1.3523","-0.0837","1.4266","-0.1046","-0.2503","-0.499","-0.3327","-0.4386","-0.4113","-0.3442","-0.4689","-0.2404","-0.3126","-0.3149","-0.2257","0.2605"
"C0AD10","-2.8287","0.7014","0.848","1.0177",NA,NA,"0.3623","0.0175","-0.8988","-0.9629","-1.3787","-1.0692","-0.3308","-2.1729","-0.4938","-1.1852","1.1873","-0.9642","-1.0285","-2.5115","-1.782","-2.1347","-2.1613","-2.3745","-2.508","-2.2517","-2.1298","-1.3856","-1.2803","1.1025"
"C0AD30","-1.7983","-1.5935","0.6309","-0.6821","0.1935","0.0314","0.0227","0.1046","-0.6137","0.0384","0.2088","0.6536","0.4848","-0.6915","1.3753","0.1954","-1.3237","0.8829","0.6994","-0.5902","-0.2084","0.5734","0.7713","-1.8896","-2.2252","-2.2874","1.2436","0.0192","-0.4558","0.167"
"C0AD40","1.0777","-0.9397","0.3286","0.4997","0.4045","0.1717","-0.0349","0.766","0.6582","0.559","0.5283","-0.5481","0.4635","0.8835","0.881","0.0927","0.55","0.5162","0.4045","0.5362","-0.6973","0.431","-0.8733","-1.3966","0.4788","-1.1971","0.8918","0.2997","0.135","0.5516"
