,stno,name,Lon,Lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
88,C0S740,池上,121.2095,23.1196,1.23,1.07,0.82,1.65,3.57,6.42,7.75,9.67,15.58,9.37,4.21,1.22
89,C0S750,向陽,120.9861,23.2484,4.13,3.46,4.16,6.9,10.94,16.13,12.99,16.56,19.7,10.43,6.35,4.1
90,C0S770,大溪山,120.9433,22.4785,2.46,2.49,2.29,4.6,6.55,12.2,11.6,11.05,15.63,10.66,4.87,1.94
91,C0S790,金崙,120.9669,22.5381,1.82,1.82,1.46,3.12,5.29,10.19,8.78,9.41,14.51,10.41,4.91,1.43
92,C0S810,東河,121.304,22.9727,1.71,1.87,1.57,3.61,5.6,6.63,6.84,8.71,11.13,10.14,5.7,1.44
93,C0S840,南田,120.8892,22.2797,1.95,2.04,1.38,3.85,5.91,13.51,13.64,15.12,12.99,6.75,4.1,1.56
94,C0T960,光復,121.425,23.6607,2.68,2.42,2.63,3.16,6.32,5.94,7.09,9.25,12.5,14.87,7.6,3.21
95,C0T9A0,月眉山,121.5398,23.8099,3,3.24,2.83,3.03,6.94,5.42,5.32,9.02,11.26,14.57,7.9,3.6
96,C0T9M0,靜浦,121.495,23.4552,3.85,3.99,2.7,2.95,6.37,5.14,5.02,6.13,8.04,11.57,8.33,3.48
97,C0V250,甲仙,120.5918,23.0801,1.17,0.67,0.86,2.78,12.8,17.88,19.17,23.58,13.99,2.57,1.37,0.68
99,C1A9N0,四十份,121.5933,24.9342,7.15,8.73,5.8,7.03,11.81,17.04,9.19,15.63,17.04,13.05,8.13,8.17
101,C1AC50,關渡,121.4693,25.1335,3.47,4.04,3.44,4.83,8.6,8.96,4.37,8.43,6.88,4.64,3.21,2.66
103,C1C510,水尾,121.0872,24.9401,4.06,4.63,4.17,4.93,8.33,9.15,2.22,6.8,3.8,2.37,3.65,2.78
105,C1D380,新埔,121.0383,24.8475,3.9,4.07,4.24,5.14,7.23,8.12,3.32,7.43,3.98,2.01,3.24,2.61
107,C1D400,鳥嘴山,121.2839,24.7191,3.31,4.05,4.49,6.59,10.97,14.72,13.58,15.54,13.61,6.7,3.36,3.12
109,C1D410,白蘭,121.0799,24.5794,5.14,5.27,5.38,7.45,10.65,10.88,14.59,17.69,7.25,2.91,3.99,3.71
111,C1D420,太閣南,121.1606,24.6328,4.46,4.62,4.75,6.31,9.78,9.74,12.44,12.1,8,3.49,3.25,3.55
113,C1E480,鳳美,121.0347,24.5548,3.95,5.04,5.34,6.74,10.55,12.01,14.08,14.04,6.87,2.56,3.69,3.31
115,C1E670,南礦,121.0028,24.5383,5.11,5.29,5.79,7.42,11.99,13.67,14.33,14.17,6.27,2.26,3.9,3.3
117,C1I440,新高口,120.8789,23.4787,3.74,3.24,3.19,7.07,14.49,20.19,17.77,17.83,12.41,3.67,4.4,3
119,C1S670,摩天,121.027,23.1995,2.16,2.05,2.15,3.33,4.88,7.67,7.54,8.46,11.93,7.46,3.86,2.63
