day,PP01,PS01,TX01,WD_u,WD_v
99,-0.891837504,0.195149365,-0.244528211,-0.215492327,-0.428558396
100,-0.613709523,0.105796454,-0.173060449,-0.250667866,-0.444791724
101,-0.400773324,0.05225584,-0.200857741,-0.088108303,-0.564196876
102,-0.175954342,0.04680097,-0.249990225,-0.167312022,-0.498361709
103,-0.637039024,0.137991951,-0.281403216,0.031754893,-0.091446269
104,-0.339342607,0.196098044,-0.296327592,0.058704527,-0.150607734
105,-0.251093866,0.134078678,-0.255298379,0.001828265,-0.261715851
106,-0.67680274,0.08445136,-0.210653466,-0.038752869,-0.255222519
107,-0.921598969,-0.012075887,-0.061537919,-0.425997168,-0.2954451
108,-0.699450888,-0.093958038,0.055908205,-0.498541821,-0.736630901
109,-0.260932592,-0.087791671,0.094680811,-0.529251869,-0.603337235
110,0.06652529,-0.134454419,0.076294595,-0.555574767,-0.677469436
111,-0.585119984,-0.263888685,0.126837457,-0.528076739,-0.99600342
112,-0.174700653,-0.262999295,0.032162547,-0.198648806,-0.796333476
113,-0.520118981,-0.109314656,0.023802845,-0.077923848,-0.089642566
114,-0.596239652,-0.025475881,0.08278234,-0.200215645,-0.463730608
115,-1.048657534,0.039093028,0.063139604,-0.085523018,-0.271275477
116,-0.327814127,0.04265054,0.065114135,-0.162689847,-0.402224329
117,-0.180233234,0.00701611,0.058062238,-0.249414394,-0.44244691
118,-0.689176096,-0.052987318,0.117452025,-0.460937681,-0.471125791
119,-0.947381338,-0.160898622,0.237693263,-0.73333267,-0.886518636
120,-0.557947657,-0.270588681,0.317341224,-0.815278358,-1.264394455
121,-0.442063269,-0.309424885,0.364601749,-0.791227377,-0.977966388
122,0.12670232,-0.318911583,0.383475187,-0.849670477,-0.948926766
123,-0.256953495,-0.230388748,0.300442317,-0.304097081,-0.534435773
124,-0.190562533,-0.253334729,0.27190137,-0.466813328,-0.276866957
125,0.241660068,-0.3210461,0.242642412,-0.48890576,-0.636345003
126,-0.430262248,-0.386504375,0.342240828,-0.72534179,-1.157975966
127,-0.897070289,-0.413837944,0.441326378,-0.652405427,-1.083483025
128,-0.762407834,-0.439689228,0.46691835,-0.686562521,-0.972555278
129,-0.019488615,-0.482497993,0.428248317,-0.568814558,-0.892470857
130,-0.669743931,-0.417869795,0.433171822,-0.320783918,-0.514234297
131,-0.522571849,-0.379804378,0.495843946,-0.428425769,-0.629310561
132,0.160878947,-0.406960079,0.550284583,-0.739991736,-0.521088369
133,0.013434325,-0.529575792,0.614803021,-0.659612887,-0.789299034
134,-0.827599616,-0.539833277,0.602571187,-0.466578302,-0.479062085
135,-0.060860323,-0.564439434,0.592775462,-0.559178497,-0.746731639
136,-0.083562979,-0.564024384,0.53759117,-0.269548278,-0.435592838
137,1.596052033,-0.612999517,0.486638016,-0.461329391,-0.377693966
138,0.615885968,-0.707748009,0.523923314,-0.58651984,-0.797235328
139,0.912464967,-0.717353286,0.494125847,-0.54852399,-0.656185739
140,1.30497836,-0.744449697,0.513076215,-0.67332273,-0.636705744
141,0.912737508,-0.756782432,0.486638016,-0.508804618,-0.337110644
142,1.385759481,-0.888529059,0.543386547,-0.744222202,-0.437937652
143,0.868858424,-0.921198919,0.594134555,-0.710691844,-0.859643459
144,-0.048214425,-0.851768082,0.63108649,-0.531837153,-0.760259413
145,-0.462122279,-0.743085991,0.661730184,-0.587146576,-0.624620933
146,-0.087405806,-0.756011621,0.681193417,-0.749392771,-0.806434214
147,0.846074005,-0.943136931,0.658063198,-0.62451569,-0.910507889
148,1.629165752,-1.05745176,0.659447934,-0.54131653,-1.245816312
149,1.5638377,-0.980372248,0.666397257,-0.705207907,-1.232468908
150,1.116734366,-0.915388312,0.686988794,-0.860873377,-1.185752996
151,1.395271158,-0.932464373,0.696912735,-0.847241877,-1.091419319
