"stno","2012-06-01","2012-06-02","2012-06-03","2012-06-04","2012-06-05","2012-06-06","2012-06-07","2012-06-08","2012-06-09","2012-06-10","2012-06-11","2012-06-12","2012-06-13","2012-06-14","2012-06-15","2012-06-16","2012-06-17","2012-06-18","2012-06-19","2012-06-20","2012-06-21","2012-06-22","2012-06-23","2012-06-24","2012-06-25","2012-06-26","2012-06-27","2012-06-28","2012-06-29","2012-06-30"
"C0AD30","1006.3","1004","1002.4","1001.1","1002.1","1001.9","1001.9","1002.2","1000.5","997.4","995.2","996.8","1000.3","1000","999.2","1003","1002.8","999.9","997.6","996.7","1003.8","1005","1003.3","1003.6","1003.7","1003.9","1005","1002.9","1001.7","1006"
"C0AD40","1005.6","1003.2","1001.8","1000.5","1001.4","1001.1","1001","1001.3","999.7","996.6","994.3","995.9","999.4","999.1","998.2","1001.8","1001.6","998.7","996.5","995.6","1002.7","1003.8","1002.1","1002.3","1002.4","1002.6","1003.8","1001.5","1000.5","1004.8"
"C0AD50","999.8","997.7","995.9","994.8","995.7","995.5","995.6","995.9","994.4","991.4","989.1","990.3","993.6","993.6","992.7","996.3","996.2","993.4","991","990.1","997.1","998.3","996.7","996.9","997.1","997.3","998.5","995.7","995.3","999.6"
"C0C460","956","954.4","952.2","951.7","952.8","952.9","953.3","953.7","952.1","949.2","947.1","947.4","950.7","950.8","950.2","953.7","954","951.2","948.7","947.6","954.3","955.8","954.3","954.6","954.8","955","956.1","953.1","953.2","957.2"
"C0C480","997.5","995.4","993.6","992.5","993.4","993.1","993.3","993.6","992.1","989","986.8","987.9","991.3","991.2","990.4","994.1","994.1","991.3","988.8","987.9","995","996.2","994.5","994.8","994.9","995.2","996.4","993.6","993.2","997.5"
"C0C540","1004","1001.8","1000","998.9","999.9","999.6","999.7","999.9","998.3","995.2","993","994.2","997.7","997.5","996.7","1000.4","1000.4","997.6","995","994.2","1001.3","1002.4","1000.8","1001.1","1001.3","1001.5","1002.7","999.8","999.4","1003.9"
"C0C590","1000.6","998.4","996.6","995.6","996.6","996.3","996.4","996.6","994.9","991.8","989.6","990.9","994.4","994.2","993.4","997.1","997.1","994.3","991.7","990.9","998","999.1","997.4","997.7","997.9","998.2","999.4","996.3","996.2","1000.6"
"C0C630","985","983.2","981.1","980.3","981.3","981.2","981.4","981.6","980","977","974.7","975.8","979.1","979.1","978.4","982.1","982.1","979.3","976.9","975.9","982.9","984.1","982.5","982.8","983","983.2","984.4","981.2","981.3","985.5"
"C0C650","985.6","983.6","981.6","980.8","981.8","981.6","981.8","982.1","980.4","977.4","975.2","976.2","979.6","979.6","978.9","982.5","982.5","979.7","977.2","976.3","983.3","984.5","982.9","983.2","983.4","983.7","984.8","981.5","981.7","986"
"C0D360","948.6","947","944","944.6","945.5","945.8","946.2","946.5","945","942.1","940","940.2","943.5","943.6","943.1","946.6","946.9","944.2","941.5","940.3","947.1","948.6","947.1","947.5","947.6","947.9","949.1","945.9","946.1","950"
"C0D390","990.3","988.6","985.8","985.8","986.8","986.7","987","987.2","985.8","982.8","980.8","981.3","984.6","984.6","984","987.6","987.8","985","982.4","981.3","988.5","989.7","988.1","988.4","988.6","988.8","990","986.6","987","991.2"
"C0D480","982.8","981.1","978.6","978.3","979.4","979.3","979.6","979.8","978.3","975.3","973.3","973.8","977.2","977.2","976.6","980.1","980.3","977.6","974.9","973.9","981","982.2","980.6","980.9","981.1","981.4","982.6","979.2","979.5","983.7"
"C0D540","983.7","982","979.1","979.3","980.2","980.2","980.6","980.7","979.3","976.3","974.2","974.7","978.1","978.1","977.6","981.1","981.4","978.6","975.9","974.8","982","983.1","981.6","981.8","982.1","982.3","983.5","980.3","980.5","984.7"
