"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"139","C0V370",1.04,0.25,1.5,0,0.52,0.57,0.41,0,0.32
"140","C0V490",0.25,0.04,1.14,0,0.45,0.73,0.91,0.02,0.2
"141","C0V500",0.36,0.05,0.76,0.04,0.48,1.54,1.66,0,0.09
"142","C0X080",0.86,0.32,0.97,0.21,0.46,0.95,0.74,0,0.64
"143","C0Z050",2.14,1.46,3.12,1.18,2.46,1.2,0.91,0.91,1.14
"144","C0Z061",0.95,1.43,2.28,2.55,2.91,1,1.41,1.36,0.86
"145","C0Z070",1.12,1.11,2.45,1.66,3.09,0.75,1.33,0.96,0.54
"146","C1A9N0",12.55,5.39,14.53,3.16,13.36,4.43,8.31,6.38,10.48
"147","C1AC50",6.5,2.29,6.9,1.27,6.39,1.54,3.19,3.91,4.34
"148","C1C510",7.36,2.7,8.93,1.05,6.77,2.96,3.53,3.54,4.8
"149","C1D380",7.71,2.45,8.5,0.38,5.93,1.7,3.09,3.46,3.45
"150","C1D400",10.38,2.05,9.53,0.5,2.59,1.84,0.31,3.62,5.64
"151","C1D410",10.96,2.29,10.57,0.39,5.95,3.64,3.59,3.52,6.48
"152","C1D420",9.68,2.34,9.36,0.34,6.14,3.07,3.26,1.48,5.88
"153","C1E480",11.39,2.05,9.95,0.18,6.14,3.7,3,3.45,5.52
"154","C1E670",12.68,2.38,9.71,0.14,6.77,3.79,3.43,3.8,4.89
"155","C1H000",11.48,2.32,10.19,0.52,4.11,1.32,3.72,1.88,7.3
"156","C1H860",11.62,2.09,9.02,0.27,3.61,1.09,3.95,2.21,6.25
"157","C1H900",6.04,1.12,5.02,0.05,2.64,0.32,1.79,0.91,3.21
"158","C1H920",5.04,0.96,4.9,0.02,2.07,0.52,1.66,0.71,2.46
"159","C1I020",8.11,1.36,5.24,0.04,3.79,0.52,3.05,0.96,4.91
"160","C1I030",5.34,0.79,3.1,0.04,2.95,0.04,2.02,0.55,3.45
"161","C1I070",3.02,0.89,2.5,0.09,2.09,0.46,1.43,0.43,2.62
"162","C1I140",3.68,0.62,2.12,0.04,2.38,0.43,1.07,0.21,2.62
"163","C1I150",5.32,0.8,2.6,0.02,2.71,0.2,1.55,0.43,2.89
"164","C1I220",4.36,0.91,3,0.07,2.29,0.39,1.97,0.84,2.86
"165","C1I230",4.93,0.89,3.6,0.02,2,0.39,1.67,0.52,2.73
"166","C1I240",4.88,0.98,3.36,0.04,2.14,0.38,1.91,0.64,2.73
"167","C1I250",6.34,1.23,3.9,0.02,2.8,0.29,1.97,0.82,3.41
"168","C1I260",5.86,1.32,3.88,0.02,3.73,0.59,1.5,0.88,3.52
"169","C1I280",3.66,0.66,2.02,0.05,1.12,0.3,1.1,0.41,1.64
"170","C1I290",3.04,0.66,2.34,0.04,1.64,0.38,1.29,0.09,2.54
"171","C1I310",3.98,0.7,2.53,0,2.82,0.39,1.5,0.43,2.75
"172","C1I320",9.14,1.36,5.69,0.14,5.12,0.8,3.86,1.34,6.12
"173","C1I330",6.66,1.41,4.67,0.04,3.23,0.18,2.36,0.82,4.84
"174","C1I340",4.57,0.98,3.05,0.05,2.32,0.64,1.67,0.43,3.11
"175","C1I440",7.41,2.48,4.84,0.04,3.84,1.45,3.31,1.57,4.2
"176","C1M390",4.11,0.98,3.53,0,2.29,1.93,1.22,0.46,1.82
"177","C1M400",2.29,0.91,2.26,0.05,2.96,1.21,0.88,0.11,1.16
"178","C1M480",3.16,0.79,2.66,0.05,1.61,1.12,0.93,0.2,1.7
"179","C1M600",3.11,0.82,3.66,0.02,3.18,2.09,1.1,0.39,2
"180","C1M610",3.45,1.09,2.84,0,2.79,1.43,1.41,0.55,2.89
"181","C1M620",3.25,0.95,2.53,0.02,2.36,1,1.47,0.36,2.62
"182","C1O850",1.57,0.41,1.09,0,0.89,0.82,0.43,0.05,0.66
"183","C1O870",2,0.84,2.72,0.02,2,1.38,0.62,0.21,1.59
"184","C1O880",1.73,0.61,1.55,0.02,1.29,1.07,0.74,0.09,0.8
"185","C1R110",1.5,0.14,1.21,0.02,0.98,0.66,0.17,0.05,0.59
"186","C1R120",1.27,0.11,0.9,0,1.48,0.7,0.31,0.09,0.73
"187","C1R250",0.34,0.11,1.59,0,0.93,0.2,0.48,0.02,0.32
"188","C1R290",0.09,1.34,2.55,5.34,0,2.16,0.19,0.12,0.82
"189","C1S670",3.8,1.66,3.05,0.55,3.14,0.93,1.67,1.48,2.14
"190","C1S800",0.64,1.02,2.45,3.07,2.36,0.79,1.14,0.54,0.52
"191","C1S820",0.41,0.5,0.75,3.34,1.93,0.89,1.48,0.75,0.7
"192","C1S880",1.27,2.57,9.59,7.77,5.05,1.59,0.98,2.7,1.79
"193","C1T800",6.39,1.88,2.98,0.52,6.82,1.23,2.53,2.71,5.67
"194","C1T810",12.25,2.73,8.14,0.52,7.3,2.16,3.69,3.2,6.92
"195","C1T830",4.43,1.43,4.41,1,3.71,0.64,0.67,1.48,1.95
"196","C1T920",2.59,1.46,2.29,2.07,3,1.77,1.38,1.54,1.86
"197","C1T940",3.57,2,3.72,2.57,3.77,1.61,2.26,2.34,2.25
"198","C1T950",8.8,6.21,10.45,13.25,11.55,9.32,11.52,10,14
"199","C1T970",2.07,2,3.29,4.66,3.95,2.52,3.47,3.23,3.25
"200","C1T990",1.11,1.52,2.57,1.46,2.54,0.91,1.29,1.62,0.98
"202","C1U670",6,3.3,10.26,7,7.43,5.62,4.83,4.21,4.7
