"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"206","C1V300",1.13,2.05,1.31,0.39,0,0.55,8.6,0.13,3.26
"207","C1V340",0.47,1,0.21,0.11,0,0.18,6.27,0,2.08
"208","C1V390",0.1,0.55,0.13,0.23,0,0.03,4.32,0,1.13
"209","C1X040",0.48,0.55,0.55,0.44,0,0.32,6.55,0.05,2.23
"210","C1Z030",1.73,1.35,1.27,1.47,0.63,1.19,8.03,0.53,2.85
"211","C1Z040",2.21,2.34,1.76,1.76,0.66,1.55,7.6,0.92,3.48
"212","C0A9B0",2.84,1.4,3.26,1.32,0.26,0.73,6.98,0.6,7.9
"213","C0R360",0.97,0.79,0.08,2.9,0.44,1.42,3.27,0.65,1.16
"214","C0R370",1.71,1.89,0.23,5.61,1.76,1.72,3.87,1.08,1.76
"215","C0R380",0.11,0.4,0,0.1,0,0.26,2.76,0.08,1
"216","C0R400",0.5,0.26,0,0.35,0,0.84,3.61,0.37,0.97
"217","C1A730",3.66,3.19,5.52,3.63,0.82,0.66,8.44,1,8.13
"218","C1R300",3.48,3.08,0.85,3.98,1.68,1.34,5.94,1.02,3.19
"219","C1R320",0.69,0.42,0.05,0.81,0,0.48,2.73,0.23,1.65
"220","C1R330",0.63,0.29,0,0,0,0.24,3.13,0.15,0.5
"221","C1R340",1.81,0.95,0.21,1.66,0.31,1.1,3.76,0.53,1.63
"222","C1S620",2.4,1.08,0.53,1.74,1.63,1.16,7.27,0.53,2.69
"223","C1S630",1.06,0.29,1.42,1.18,0.21,1.68,4.97,0.24,1.79
"224","C1S660",1.08,1.73,1.31,0.76,0.1,0.4,4.74,0.48,2.89
"225","C1A9N0",5.92,9,10.19,6.92,3.05,2.55,11.58,3.47,11.69
"226","C1AC50",3.15,2.16,4.21,2.29,0.58,0.74,8.73,0.95,8.4
"227","C1C510",3.32,3.03,5.53,2.55,1,0.87,9.81,0.89,9.52
"228","C1D380",2.89,2.77,5.27,2.11,0.68,0.79,10.71,1,8.84
"229","C1D400",3.89,3.21,6.08,1.45,0.02,0.71,5.02,0.77,8.63
"230","C1D410",4.19,3.39,8.05,2.02,0.76,1.02,14.58,0.73,11.5
"231","C1D420",3.87,3.29,7.4,1.76,0.48,0.66,12.32,0.79,9.56
"232","C1E480",3.71,2.71,7.97,1.79,0.53,0.79,14.37,0.82,2.82
"233","C1E670",3.79,2.95,8.45,2.18,0.69,1.06,15.32,1.18,10.35
"234","C1H000",2.95,3.5,4.9,1.47,0.06,1.16,16.57,1.42,9.74
"235","C1H860",2.71,2.53,4.27,1.15,0.05,0.97,15.5,1.74,9.66
"236","C1H900",1.76,1.85,2.82,0.85,0,0.4,9.3,0.44,4.81
"237","C1H920",1.34,1.39,2.26,0.76,0,0.29,8.34,0.31,4.24
"238","C1I020",2.44,2.74,3.1,0.97,0.03,0.58,11.88,0.6,6.77
"239","C1I030",1.58,2,2.24,0.63,0,0.03,8.79,0.24,5.27
"240","C1I070",0.89,2.05,1.79,0.44,0,0.79,6.88,0.02,4.53
"241","C1I140",1.19,1.89,1.55,0.48,0,0.66,7.56,0.1,3.85
"242","C1I150",1.63,2.35,2.31,0.68,0,0.4,8.32,0.15,5.45
"243","C1I220",1.73,1.6,2.26,0.89,0,0.53,10.98,0.34,5.35
"244","C1I230",1.6,1.69,2.02,0.81,0,0.5,10.34,0.18,5.13
"245","C1I240",1.5,1.71,2.35,0.84,0,0.44,11.59,0.29,5.26
"246","C1I250",2.19,2.13,2.65,0.69,0,0.48,11.88,0.44,5.55
"247","C1I280",1.06,1.02,1.6,0.58,0,0.31,6.21,0.19,4.21
