"stno","2016-02-01","2016-02-02","2016-02-03","2016-02-04","2016-02-05","2016-02-06","2016-02-07","2016-02-08","2016-02-09","2016-02-10","2016-02-11","2016-02-12","2016-02-13","2016-02-14","2016-02-15","2016-02-16","2016-02-17","2016-02-18","2016-02-19","2016-02-20","2016-02-21","2016-02-22","2016-02-23","2016-02-24","2016-02-25","2016-02-26","2016-02-27","2016-02-28","2016-02-29"
"C0A520","35","13","0","7.5","9.5","1","0","0","0","0","0","0","0","11.5","2","0","5","8","0","0","0","0","3.5","2.5","1","2.5","15","0","0"
"C0A530","26","20.5","3.5","8","9","4","0","0","0","0","0","0","0","6.5","10","2.5","4.5","10","0.5","2.5","0","0.5","9","10.5","5","6","6.5","0","0"
"C0A540","28","16","3","10","11.5","5","0","0.5","0","0","0","0","0","6","10.5","2.5","5.5","20.5","2.5","3","0","0","8.5","10","7.5","7","5.5","0.5","0"
"C0A550","65.5","47.5","23.5","24.5","20.5","2.5","0","0","0","0","0","0","0","28","23","6","11","18.5","1","2","0.5","0.5","25","47","17.5","25.5","10.5","0.5","0"
"C0A560","22.5","18.5","2","3","6.5","3.5","0","0","0","0","0","0","0","11","5.5","2","4","6","0","7","0","0","0.5","12","10.5","3.5","0","0","0"
"C0A570","35","20","2.5","12","29","9.5","0","0","0","0","0","0","0","17.5","16.5","3","3.5","7.5","0.5","5.5","0.5","0","6.5","16.5","8.5","8","5","1","0"
"C0A640","25.5","31.5","2","9","13.5","2","0","0","0","0","0","0","0","9","12","2","6.5","10","1","2","0","1","11","15","6","7.5","13","0","0"
"C0A650","39.5","39.5","5.5","16.5","16.5","3.5","0","0","0","0","0","0","0","10.5","12","4","9.5","15.5","1","1","0.5","1","13","20","11.5","11.5","8","0","0"
"C0A660","54.5","72.5","54.5","69","29","1","0","0","0","0","0.5","0","0","59.5","8.5","1","10","24","2.5","0.5","0","0.5","19.5","22","12.5","37.5","86.5","0.5","0"
"C0A860","111.5","93.5","51","36","73","0.5","0","0","0","0","0","0","0","90.5","18","1","16","31.5","4","0.5","0","0","61","61","19","51.5","41.5","0.5","0"
"C0A870","58","50.5","16","12","19.5","1","0","0","0","0","0","0","0","27.5","9.5","0.5","6.5","14.5","3.5","0.5","0","0","24.5","48.5","8","20.5","14","0","0"
"C0A880","57.5","37.5","23","22","8.5","0.5","0","0","0","0","2","0","0","31","5","3","12","28","7.5","0","0","0.5","7","4.5","3.5","21","20.5","0","0"
"C0A890","28.0","/","1.5","39.5","12.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","8.5","4.0","11.0","24.5","2.0","1.0","0.0","1.5","7.5","25.0","15.0","25.5","17.0","0.0","0.0"
"C0A920","83.5","21.5","34.5","55.5","17","0","0","0","0","0","1","0","0","77.5","4.5","0","12","41","26.5","0.5","0","0","13.5","9.5","8","49","70.5","0.5","0"
