"stno","2015-02-01","2015-02-02","2015-02-03","2015-02-04","2015-02-05","2015-02-06","2015-02-07","2015-02-08","2015-02-09","2015-02-10","2015-02-11","2015-02-12","2015-02-13","2015-02-14","2015-02-15","2015-02-16","2015-02-17","2015-02-18","2015-02-19","2015-02-20","2015-02-21","2015-02-22","2015-02-23","2015-02-24","2015-02-25","2015-02-26","2015-02-27","2015-02-28"
"C0A860","9.5","10","74.5","62.5","17","8","7","17","6.5","1","0","0","0","0","0.5","3.5","0","0.5","0","0","0.5","1.5","6","26","0","3","9.5","1.5"
"C0A870","5.5","2","47.5","20.5","7.5","2","1","7.5","5","0","0","0","0","0","1","5","0","0","0","0","0.5","0.5","1","22.5","0","2","5","0"
"C0A880","1.5","33","51.5","22.5","7.5","7","2","7.5","11","0.5","0","0","0","0","6.5","12.5","0","0","0","0","0.5","4","3.5","19.5","0","1.5","9.5","1"
"C0A890","12","17.5","48","23.5","14","7.5","3.5","2.5","6","0","0","0","0","0","4","11.5","0","0","0","0","0","1.5","0.5","17.5","0","0.5","4.5","0"
"C0A920","4.5","5.5","87.5","26.5","7","8.5","9.5","9","0.5","0.5","0","0","0","0","2","4","0","0.5","0","0","0.5","3.5","5","17.5","0","13","28.5","6.5"
"C0A940","0","7","57","26.5","6.5","14","20.5","11","0.5","0","0","0","0","0","1","3.5","0","0","0","0","0.5","0.5","8.5","17","0","4.5","26.5","7"
"C0A950","0","8","20","9.5","2.5","10","26.5","3.5","2","0","0","0","0","0","0.5","4","0","0","0","0","0","0.5","1","5","0","0.5","8","1"
"C0A970","0.5","22.5","33.5","6","4","5.5","1","8.5","11.5","0","0","0","0","0","8","17","0","0","0","0","2","0","1","15.5","0","2.5","5","1"
"C0A980","0","0","4.5","3","2","0","0","2.5","0","0","0","0","0","0","1.5","7.5","0","0","0","0","0","0","0.5","38.5","0","0","0","0"
"C0A9A0","0","0","3","1.5","1.5","0.5","0","1","0","0","0","0","0","0","1","9","0","0","0","0","0.5","0","0","43","0","0","0","0"
"C0A9C0","0","0","3","0.5","0.5","0.5","0","1","0","0","0","0","0","0","1.5","7.5","0","0","0","0","0","0","1","36","0","0","0","0"
"C0A9E0","0","0","1.5","1","2","0.5","0","2","0","0","0","0","0","0","2","7","0","0","0","0","0","0","0","43.5","0","0","0","0"
"C0A9F0","0","0","5.5","1.5","1.5","0","0","2","0","0","0","0","0","0","1","9","0","0","0","0","0.5","0","0","40.5","0","0","1","0"
"C0AC40","3.5","3","12","9.5","6.5","3","1","9","3.5","0.5","0","0","0","0","1.5","7","1","1.5","1.5","0","0.5","1.5","0.5","18","0","2","3","0.5"
"C0AC60","0","0","0","4.5","11.5","1","1.5","6","0","0","0","0","0","0","7","13.5","0","0","0","0","0.5","0","0","28","0","0","0.5","0"
"C0AC70","0","0","7.5","3.5","5","1","0","2","0.5","0","0","0","0","0","4","10","0","0","0","0","0","1.5","0","46.5","0","0","1.5","0"
"C0AC80","0","0","7","4.5","8","1","0","2","0.5","0","0","0","0","0","6","12.5","0","0","0","0","0","1","0","33.5","0","0","2","0"
"C0ACA0","0","0","5.5","3","4","0.5","0","2.5","0","0","0","0","0","0","2","9.5","0","0","0","0","0.5","0","0","56.5","0","0","0","0"
"C0AD00","6.5","0","34","15","4","0.5","0.5","3","0.5","0","0","0","0","0","2.5","3.5","0","0.5","0","0","0.5","0.5","0.5","18","0","4","16.5","3.5"
"C0AD10","0","0","2.5","3.5","2","0","0","1","0","0","0","0","0","0","1","5.5","0","0","0","0","0","0","0.5","19.5","0","0.5","0","0"
"C0AD30","0","0","2.5","1.5","2.5","0","0","2","0","0","0","0","0","0","2","7","0","0","0","0","0","0","0","40","0","0","0","0"
"C0AD40","0","0","1.5","6.5","9.5","1","0.5","8","0","0","0","0","0","0","6.5","13","0","0","0","0","0.5","0","0","35.5","0","0","0.5","0.5"
"C0AD50","0","0","0","6.5","7.5","0.5","6.5","3.5","0","0","0","0","0","0","7","14","0","0","0","0","0","0","0","34","0","0","0","0"
"C0C460","0","0","0.5","1","4.5","2","0.5","7","1","0","0","0","0","0","7.5","20","0","0","0","0","1.5","0","0.5","8","0","0","0.5","0"
"C0C480","0","0","4","2.5","4","1","0.5","3","0","0","0","0","0","0","7","11","0","0","0","0","0.5","0","0","52.5","0","0.5","0","0"
"C0C540","0","0","2","2","1","0","0.5","2.5","0","0","0","0","0","0","2","7.5","0","0","0","0","1.5","0","0","56.5","0","0.5","0","0.5"
"C0C590","0","0","2.5","1","2","0","0","1.5","0","0","0","0","0","0","2.5","8","0","0","0","0","1.5","0","0.5","65.5","0","0.5","1","0"
"C0C630","0","0","1","3","5.5","2","0","3.5","0","0","0","0","0","0","13","17.5","0","0","0","0","1.5","0","0","24","0","0","0.5","0.5"
"C0C650","0","0","2","1.5","5","0.5","0","1.5","0","0","0","0","0","0","14","13","0","0","0","0","0.5","0.5","0.5","28.5","0","0","1","0"
