"stno","2010-02-01","2010-02-02","2010-02-03","2010-02-04","2010-02-05","2010-02-06","2010-02-07","2010-02-08","2010-02-09","2010-02-10","2010-02-11","2010-02-12","2010-02-13","2010-02-14","2010-02-15","2010-02-16","2010-02-17","2010-02-18","2010-02-19","2010-02-20","2010-02-21","2010-02-22","2010-02-23","2010-02-24","2010-02-25","2010-02-26","2010-02-27","2010-02-28"
"C1T950","42.5","2.5","6.5","3","3.5","2.5","2","29.5","0","0.5","0.5","27","1.5","0","19.5","30","30.5","18.5","20","2.5","0","1.5","1.5","0.5","0","0","0","0.5"
"C1T970","7","0.5","1","0","0","0","0.5","3.5","0","0","0","7","0","0","7","7","9","2","12.5","0","0","0.5","0","0","0","0.5","0","0"
"C1T980","1","1","0.5","0.5","3.5","5.5","0.5","0","0","0","0","10","2","0","16.5","59.5","69","51.5","45.5","5","0.5","2.5","0","0.5","0","0","0","0"
"C1T990","0","1","1","0","0.5","0.5","0","0.5","0","0","0","1","0","0","1","4","6.5","1.5","13.5","0","0","0","0","0","0","0","0","0"
"C1U501","7.5","0","0","0.5","0","14.5","4.5","0.5","0","0","1","10","7.5","0","4","32","40","28","45","1.5","0","0.5","0","0","0","0","0","3.5"
"C1U670","6","1","0.5","0","0","11","5","1","0","0","0","7","9","0","3.5","29","37.5","22.5","30","2.5","0.5","0","0","0","0","0","0","2"
"C1U690","8","2","0","0.5","0","10","5","0.5","0","0","3","5","10.5","0.5","2.5","30","39.5","23","31","5","0","0","0.5","0","0","0","0","4.5"
"C1V160","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0.5","19","8.5","11.5","33","0","0","0.5","0","0","0","0","0","0"
"C1V170","0","0","0","0","0","0","0","0","0","0","0","13.5","1","0","0.5","9.5","14","14","12","0.5","0","0","5","4.5","18.5","9.5","0","0"
"C1V190","0","0","0","0","0","0","0","0","0","0","0","4.5","0","0","1","39","40.5","44.5","86","0.5","0","5.5","0","0","0","0","0","0"
"C1V200","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","14.5","15.5","19","38.5","0","0","4","0","0","0","0","0","0"
"C1V220","0","0","0","0","0","0","0","0","0","0","0","5","0.5","0","3","27","7.5","15","35","0","0","0.5","0","0","0","0","0","0"
"C1V300","0","0","0","0","0","0","0","0","0","0","0","24.5","0","0","4","15","3","11","29.5","0","0","0.5","0","0","0","0","0","1"
"C1V340","0","0","0","0","0","0","0","0","0","0","0","8.5","0","0","0.5","7","0.5","8.5","19","0","0","0","0","0","0","0","0","0"
"C1V390","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","2","13.5","0","0","0","0","0","0","0","0","0"
"C1X040","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","1.5","6","7.5","6","22.5","0","0","0.5","0","0","0","0","0","0"
"C1Z030","0","0","0.5","0","0","0.5","0","19.5","0","0","0","0","0","0","1.5","5","4","2.5","16.5","0.5","0","0","0","0","0","0","0","0.5"
"C1Z040","0","0.5","0.5","0","0","1","2.5","1.5","0","0","0","2","0","0","4.5","7.5","9.5","3","20","0.5","0","0.5","0","0","0","0","0","0"
"C0A9B0","0","0","0","0.5","0","6.5","11.5","0","0","0","0","0","7","0","17","30","41","27","37.5","1","0.5","0","0","0","0","0","0","0"
"C0R360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","1","0","0","0","0","0","0","1","0","0","0"
"C0R370","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0.5","0","0","0","0","0","0","1.5","0","0","0"
"C0R380","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0.5","0","0","0","0","0","0","0","0","0"
"C0R400","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1.5","0","0","0","0","0","0","0","0","0","0"
"C1A730","0","0","2","3.5","0","7","8","0","0","0","0","0","26","0","13","45","45.5","35.5","51.5","4","0","0.5","0","0","0","0","0","0"
"C1R300","0","0","0","0","0","0","0","0","0","0","0","1.5","0","0","1.5","2.5","1.5","7.5","1","0","0","0","0","0","0","0","0","0"
"C1R320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0"
"C1R330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0.5","0","0","0","0","0","0","0","0"
"C1R340","0","0","0","0.5","0","0","0.5","0","0","0","0","0","0","0","0","1","0","1.5","0","0","0.5","0","0","0","0.5","0","0","0"
"C1S620","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","7.5","1.5","7.5","6","1.5","0","0","0","0","0","0","0","0"
"C1S630","0","0","0","0","0","0","2.5","0","0","0","0","0.5","0","0","0","1.5","1","0.5","10.5","0","0","0","0","0","0","0","0","0"
"C1S660","0","0","0","0","0","0","0","0","0","0","0","2","0.5","0","1","15","14","7","32","0.5","0","0","0","0","0","0","0","0"
