"stno","2018-04-01","2018-04-02","2018-04-03","2018-04-04","2018-04-05","2018-04-06","2018-04-07","2018-04-08","2018-04-09","2018-04-10","2018-04-11","2018-04-12","2018-04-13","2018-04-14","2018-04-15","2018-04-16","2018-04-17","2018-04-18","2018-04-19","2018-04-20","2018-04-21","2018-04-22","2018-04-23","2018-04-24","2018-04-25","2018-04-26","2018-04-27","2018-04-28","2018-04-29","2018-04-30"
"C0A890","0","0","0","0","0","4.5","2.5","0","0","0","0","0","1.5","14.5","6","1.5","13.5","0","0","0","0","0","1.5","30","0.5","0","0.5","0","3","0"
"C0A920","0","0","0","0","0","33","1.5","0","0","0","0","3.5","0","12.5","27","5.5","15.5","0","0","0","0","0","0","35.5","0","0","2.5","0","0","0"
"C0A940","0","0","0","0","0","8.5","2","0","0","0","0","0.5","0.5","14","12","6","14","0","0","0","0","0","0","38.5","0","0","0","0","0","0"
"C0A950","0","0","0","0","0","0","0.5","0","0","0","0","0","1","5.5","1","0.5","5.5","0","0","0","0","0","0","21","0","0","0","0","0","0"
"C0A970","0","0","0","0","0","5.5","0.5","0","0","0","0","0","3","22","9.5","1","8","0","0","0","0","0","5","9.5","0","0","0","0","4","0"
"C0A980","0","0","0","0","0","2","3","0","0","0","0","8","0","6.5","5","5.5","13.5","0","0","0","0","0","0","25","0","0","0","0","0","0"
"C0A9A0","0","0","0","0","0","1.5","3.5","0","0","0","0","6","0.5","12.5","9.5","5","10","0","0","0","0","0","0","12.5","0","0","0","0","0","0"
"C0A9C0","0","0","0","0","0","1","2.5","0","0","0","0","5","0","13.5","5.5","5","12","0","0","0","0","0","0","25","0","0","0","0","0","0"
"C0A9E0","0","0","0","0","0","1.5","2.5","0","0","0","0","8","0","20.5","8","5.5","12.5","0","0","0","0","0","0","18","0","0","0","0","0","0"
"C0A9F0","0","0","0","0","0","1","3","0","0","0","0","4","0","14","13","4.5","12","0","0","0","0","0","0","14.5","0","0","0","0","0","0"
"C0AC40","0","0","0","0","0","8.5","5","0","0","0","0","7","0","7.5","12","9","16.5","0","0","0","0","0","0","45.5","1.5","0","1","0","0","0"
"C0AC60","0","0","0","0","0","2","3.5","0","0","0","0","12.5","0","0","13.5","6.5","17.5","0","0","0","0","0","0","11","0","0","0","0","0","0"
"C0AC70","0","0","0","0","0","0","3.5","0","0","0","0","9.5","0.5","2","4","5","13.5","0","0","0","0","0","0","11.5","0","0","0","0","0","0"
"C0AC80","0","0","0","0","0","1.5","4.5","0","0","0","0","24.5","0","4.5","6.5","4.5","12.5","0","0","0","0","0","0","24.5","0","0","0","0","0","0.5"
"C0ACA0","0","0","0","0","0","1.5","3.5","0","0","0","0","41","0","6","7","6","15","0","0","0","0","0","0","13","0","0","0","0","0","0"
"C0AD00","0","0","0","0","0","25.5","1.5","0","0","0","0","5.5","0","13","15.5","6.5","12","0","0","0","0","0","0","29.5","0","0","0","0","0","0"
"C0AD10","0","0","0","0","0","6","2","0","0","0","0","19","0","7","9.5","6.5","12","0","0","0","0","0","0","19","0","0","0","0","0","0"
"C0AD30","0","0","0","0","0","2","2.5","0","0","0","0","9","0","9.5","5.5","5.5","13.5","0","0","0","0","0","0","19","0","0","0","0","0","0"
"C0AD40","0","0","0","0","0","1.5","4","0","0","0","0","6.5","0","0.5","12","5.5","15","0","0","0","0","0","3","10.5","0","0","0","0","0","0"
"C0AD50","0","0","0","0","0","5.5","3","0","0","0","0","20","0.5","0","7.5","6","14.5","0","0","0","0","0","0","7.5","0","0","0","0","0","0"
"C0C460","0","0","2","0","0","1.5","7.5","0","0","0","0","0","0.5","1","9.5","10","19","0","0","0","0","0","0.5","32.5","0","0","0.5","0","4","0"
"C0C480","0","0","0","0","0","2.5","4.5","0","0","0","0","47.5","0.5","0.5","9","6","15.5","0","0","0","0","0","0","9.5","0","0","0","0","0","0"
"C0C540","0","0","0","0","0","10","2.5","0","0","0","0","15","0.5","0","6.5","7","13","0","0","0","0","0","0","13.5","0","0","0","0","0","0"
"C0C590","0","0","0","0","0","9","4","0","0","0","0","9","0.5","0.5","3","6.5","12","0","0","0","0","0","0","14.5","0","0","0","0","0","0"
"C0C630","0","0","0","0","0","5.5","4.5","0","0","0","0","14","0","0.5","9","7.5","14","0","0","0","0","0","0","10","0","0","0","0","0","0"
"C0C650","0","0","0","0","0","3","4.5","0","0","0","0","13","0.5","0","10.5","8.5","18","0","0","0","0","0","0","10.5","0","0","0","0","0","0"
"C0D360","0","0","0.5","0","0.5","3","7.5","0","0","0","0","0","0.5","1","7.5","15.5","9.5","0","0.5","0.5","0","0","1.5","14","0.5","0","0","0","0.5","0"
"C0D390","0","0","0","0","0","2","5.5","0","0","0","0","5","0","0.5","25.5","6.5","18.5","0","0","0","0","0","0","22","0","0","0","0","0","0"
"C0D480","0","0","0","0","0","5","5.5","0","0","0","0","6","0.5","1","13.5","8.5","17","0","0","0","0","0","0","10","0","0","0","0","0","0"
"C0D540","0","0","0","0","0","0","5","0.5","0","0","0","0.5","0.5","1.5","19","9","20","0.5","0","0","0","0","0.5","39","0","0","0","0","0","0"
"C0D550","1","0","0.5","0.5","0","0.5","13.5","0","0","0","0","5","0","0","5.5","17.5","22","0","0.5","0.5","0","0","1.5","1","0","0","1.5","0","0.5","0"
"C0D560","0","0","0","0","0","0.5","3.5","0","0","0","0","4","0","0.5","24","5.5","16.5","0","0","0","0","0","0","12","0","0","0","0","0","0"
"C0D570","0","0","0","0","0","0","1.5","0","0","0","0","4.5","0","3.5","25","8.5","11.5","0","0","0","0","0","0","5","0","0","0","0","0","0"
"C0D580","0","0","0","0","0","0.5","3.5","0","0","0","0","6.5","0","4.5","20.5","7","19","0","0","0","0","0","0","14","0","0","0","0","0","0"
"C0D590","0","0","0","0","0","1.5","2.5","0","0","0","0","2.5","0","0.5","3.5","8","11","0","0","0","0","0","0","15.5","0","0","0","0","0","0"
"C0E420","0","0","0","0","0","0","0","0","0","0","0","5","0","2","10.5","7.5","8.5","0","0","0","0","0","0","3","0","0","0","0","0","0"
"C0E430","0","0","20","0","0","0","1.5","0","0","0","0","12","0","1","15.5","14.5","21.5","0","0","0","0","0","1","20","0","0","0","0","5","0"
"C0E530","0","0","0","0","0","0","0","0","0","0","0","19","0","1","6.5","14","10","0","0","0","0","0","0","2.5","0","0","0","0","0","0"
"C0E610","0","1","0","0","0","0.5","0","0","0","0","0","65","0","1","27","12.5","20","0","0","0","0","0","0","6","0","0","0","0","10.5","0"
"C0E730","0","0","0","0","0","0","1","0","0","0","0","13.5","0","0.5","27","8","11.5","0","0","0","0","0","0","2","0","0","0","0","0","0"
"C0F861","0","0","0","0","0","0","12.5","0","0","0","0","1","0","3.5","7.5","24.5","26","0","0","0","0","0","3","2","0.5","0","0","0","0","0"
"C0G640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","6.5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0G650","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.5","4","11.5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C0H990","0","0","0","0","0","0.5","4","0","0","0","0","5.5","0","1","8.5","10.5","19.5","0","0","0","0","0","2.5","1.5","0.5","0","2","0.5","0","0"
"C0H9A0","0","0","0","0","0","1","11.5","0","0","0","0","3","0","3.5","9","7.5","15.5","0","0","0","0","0","4.5","5","15","1","0.5","0.5","0","0"
